Product Code,Line Item,Category,Sub Category,Conversion Factor,Supplier,Cost Type,Purchase Type,Made in,Product Group,Model,Brand,Product Name,Size,Color,Cost Price,Wholesale Price,Retail Price,Profit(%),Difference,Barcode Customer SKU Code 1
IGM00003,IGNITION,Motor Cycle,Spark Plugs,0,,Fixed,,,,,DENSO,Spark Plug U20FS-U / GD110,Default,Default,95,125,119,24,30,
IGM00004,IGNITION,Motor Cycle,Spark Plugs,0,,Fixed,,,,,DENSO,Spark Plug U24ESR-N / SG150,Default,Default,169,230,211,26.52,61,
IGM00005,IGNITION,Motor Cycle,Spark Plugs,0,,Fixed,,Japan,,CG125,DENSO,Spark Plug X24EP-U9 / CG125,Default,Default,95,110,119,13.64,15,
IGM00006,IGNITION,Motor Cycle,Spark Plugs,0,,Fixed,,,,CD70,DENSO,Spark Plug U22FS-U / CD70,Default,Default,95,110,119,13.64,15,
IGM00007,IGNITION,Motor Cycle,Spark Plugs,0,,Fixed,,,,CD70,NGK,NGK Spark Plug C7HSA / CD70,Default,Default,129,150,161,14,21,87295146293
IGM00008,IGNITION,Motor Cycle,Spark Plugs,0,,Fixed,,,,CG125,NGK,Spark Plug DP8EA-9 / CG125,Default,Default,132,185,165,28.65,53,87295158296
IGM00009,IGNITION,Motor Cycle,Spark Plugs,0,,Fixed,,,,,NGK,Spark Plug CR8EGP / SG150,Default,Default,285,350,356,18.57,65,87295135969
IGM00010,IGNITION,Motor Cycle,Spark Plugs,0,,Fixed,,Japan,,,NGK,Spark Plug BP6HS / M.Cycle,Default,Default,129,135,161,4.44,6,87295145111
IGM00011,IGNITION,Motor Cycle,Spark Plugs,0,,Fixed,,Japan,,,NGK,Spark Plug BP7HS / M.Cycle,Default,Default,129,135,161,4.44,6,87295151112
IGM00012,IGNITION,Motor Cycle,Spark Plugs,0,,Fixed,,Japan,,,NGK,Spark Plug DPR8EGP-9 / M.Cycle,Default,Default,210,250,263,16,40,87295135983
FL00069,Car Care,Body Polish,,0,Ahsan Traders,Fixed,,China,,,Flamingo,FLAMINGO F087 PLATINUM HARD WAX 200g,Default,Default,652.5,950,816,31.32,297.5,6959375192909
CS00001,Car Care,Combo Set,,0,,Fixed,,,,,,Car Care Combo Set 6in1,Default,Default,2095,3000,2619,30.17,905,
AIR0002,Perfumes / Fragrances,Liquid Air Freshener,DashBoard Air Freshener,0,Ahsan Traders,Fixed,,,,,,Solar-Powered Fighter Airplane Car Air Freshener - with Essential Oil Scent,Default,Default,1000,1250,1250,20,250,
AIR0003,Perfumes / Fragrances,Liquid Air Freshener,DashBoard Air Freshener,0,Ahsan Traders,Fixed,,,,,,Eco-Friendly Solar-Powered Fighter Airplane Car Air Freshener with Essential Oil,Default,Default,1000,1250,1250,20,250,
AITE001,Perfumes / Fragrances,Liquid Air Freshener,DashBoard Air Freshener,0,Ahsan Traders,Fixed,,,,,,AITELI CAR AIR FRESHENER -GOLDEN TRIANGLE,Default,Default,550,688,688,20.06,138,
